a,b,c,d,e,f,g
5.150000000000000133e-01,1.999983240493001135e+00,-1.310080656014460452e-04,-2.024520483129394588e+00,5.424765033698188241e-05,-1.695193992761392238e-02,-7.186423650084799997e-02
5.200000000000000178e-01,1.999982575853039624e+00,-1.348686209845438805e-04,-2.024520204838872850e+00,5.707181593199346116e-05,-1.731360556620172714e-02,-7.280324204960089696e-02
5.250000000000000222e-01,1.999981891733576767e+00,-1.388007412481626350e-04,-2.024519912123273979e+00,6.001670553629193561e-05,-1.767998415282468622e-02,-7.374943113048702814e-02
5.300000000000000266e-01,1.999981187774396707e+00,-1.428046997331397950e-04,-2.024519604371869619e+00,6.308643845521737649e-05,-1.805111180254868539e-02,-7.470288020491405723e-02
5.350000000000000311e-01,1.999980463613408199e+00,-1.468807415882802080e-04,-2.024519280954201861e+00,6.628524080585993232e-05,-1.842702501494384096e-02,-7.566366584224050451e-02
5.400000000000000355e-01,1.999979718886709223e+00,-1.510290829479216774e-04,-2.024518941219708879e+00,6.961744723439004627e-05,-1.880776067485556702e-02,-7.663186471748142936e-02
5.450000000000000400e-01,1.999978953228651823e+00,-1.552499101095002585e-04,-2.024518584497342122e+00,7.308750263338867294e-05,-1.919335605317566001e-02,-7.760755360901387678e-02
5.500000000000000444e-01,1.999978166277897040e+00,-1.595433316707865388e-04,-2.024518210084352177e+00,7.670001131887292992e-05,-1.958384878744382634e-02,-7.859080923111892714e-02
5.550000000000000488e-01,1.999977357684271873e+00,-1.639093243605032517e-04,-2.024517817233620676e+00,8.045979257016391438e-05,-1.997927685974509870e-02,-7.958170804438033374e-02
5.600000000000000533e-01,1.999976527085840061e+00,-1.683479128010928016e-04,-2.024517405194879327e+00,8.437170015209176279e-05,-2.037967867491072976e-02,-8.058032688744422301e-02
5.650000000000000577e-01,1.999975674119599534e+00,-1.728590851844623278e-04,-2.024516973195095382e+00,8.844070827856753735e-05,-2.078509302548607260e-02,-8.158674268154077203e-02
5.700000000000000622e-01,1.999974798422263333e+00,-1.774427868255189233e-04,-2.024516520436797418e+00,9.267191900408231408e-05,-2.119555909009021577e-02,-8.260103240844324235e-02
5.750000000000000666e-01,1.999973899630382634e+00,-1.820989188802305350e-04,-2.024516046097588173e+00,9.707056440463837264e-05,-2.161111643399005883e-02,-8.362327310656021695e-02
5.799999999999999600e-01,1.999972977380470196e+00,-1.868273370636869171e-04,-2.024515549329661823e+00,1.016420087586802234e-04,-2.203180500967436006e-02,-8.465354186702772621e-02
5.849999999999999645e-01,1.999972031309123377e+00,-1.916278503681609921e-04,-2.024515029259317256e+00,1.063917507280261903e-04,-2.245766515742782590e-02,-8.569191582980162369e-02
5.899999999999999689e-01,1.999971061053148258e+00,-1.965002197811693439e-04,-2.024514484986472684e+00,1.113254255387989772e-04,-2.288873760590511702e-02,-8.673847217974958723e-02
5.949999999999999734e-01,1.999970066249682432e+00,-2.014441570035334968e-04,-2.024513915584180701e+00,1.164488071623571964e-04,-2.332506347270494121e-02,-8.779328814274352244e-02
5.999999999999999778e-01,1.999969046536318018e+00,-2.064593231674408970e-04,-2.024513320098143332e+00,1.217678104962264499e-04,-2.376668426494410805e-02,-8.885644098175168870e-02
6.049999999999999822e-01,1.999968001557373976e+00,-2.115452811886508631e-04,-2.024512697536649419e+00,1.272885346325048305e-04,-2.421364186190090584e-02,-8.992800787069933632e-02
6.099999999999999867e-01,1.999966930980394686e+00,-2.167013709892257468e-04,-2.024512046844582080e+00,1.330173744751705488e-04,-2.466597846783082082e-02,-9.100806556499743682e-02
6.149999999999999911e-01,1.999965834458967473e+00,-2.219269895566614145e-04,-2.024511366961042391e+00,1.389607736083688636e-04,-2.512373672134131722e-02,-9.209669113931785722e-02
6.199999999999999956e-01,1.999964711647084004e+00,-2.272214822752348829e-04,-2.024510656796686181e+00,1.451253216389400815e-04,-2.558695965443709766e-02,-9.319396170058828754e-02
6.250000000000000000e-01,1.999963562201512612e+00,-2.325841246941400583e-04,-2.024509915229736556e+00,1.515177713976629159e-04,-2.605569068653928663e-02,-9.429995433940038807e-02
6.300000000000000044e-01,1.999962385782009910e+00,-2.380141205795230255e-04,-2.024509141105361287e+00,1.581450417103898328e-04,-2.652997362480189261e-02,-9.541474612434611147e-02
6.350000000000000089e-01,1.999961182051531727e+00,-2.435105999665172815e-04,-2.024508333235048418e+00,1.650142201691820964e-04,-2.700985266442832225e-02,-9.653841409635423310e-02
6.400000000000000133e-01,1.999959950676445164e+00,-2.490726172112789696e-04,-2.024507490395985876e+00,1.721325659034451960e-04,-2.749537238898785985e-02,-9.767103526302664540e-02
6.450000000000000178e-01,1.999958691326739979e+00,-2.546991490430222226e-04,-2.024506611330437078e+00,1.795075123510638112e-04,-2.798657777073216765e-02,-9.881268659297487433e-02
6.500000000000000222e-01,1.999957403676240641e+00,-2.603890926160542878e-04,-2.024505694745119211e+00,1.871466700295372108e-04,-2.848351417091176535e-02,-9.996344501015640149e-02
6.550000000000000266e-01,1.999956087402817495e+00,-2.661412635618110598e-04,-2.024504739310578838e+00,1.950578293071143809e-04,-2.898622734009254076e-02,-1.011233873882111250e-01
6.600000000000000311e-01,1.999954742218460035e+00,-2.719541827332118953e-04,-2.024503743621443252e+00,2.032491372966249883e-04,-2.949476333644641610e-02,-1.022925901366034673e-01
6.650000000000000355e-01,1.999953367793120718e+00,-2.778266146584083785e-04,-2.024502706295861376e+00,2.117286553223877207e-04,-3.000916873584198036e-02,-1.034711302388815202e-01
6.700000000000000400e-01,1.999951963880300276e+00,-2.837566784002349394e-04,-2.024501625810602778e+00,2.205050927597306865e-04,-3.052949028776893309e-02,-1.046590835331762948e-01
6.750000000000000444e-01,1.999950530194446685e+00,-2.897427146897173515e-04,-2.024500500661359670e+00,2.295870936617403738e-04,-3.105577525301622330e-02,-1.058565263853891714e-01
6.800000000000000488e-01,1.999949066458113434e+00,-2.957829517499208126e-04,-2.024499329300606387e+00,2.389835132945472053e-04,-3.158807127502358952e-02,-1.070635350417453308e-01
6.850000000000000533e-01,1.999947572402208440e+00,-3.018755030947968933e-04,-2.024498110136929707e+00,2.487034211170940706e-04,-3.212642638009977764e-02,-1.082801856226411619e-01
6.900000000000000577e-01,1.999946047766252732e+00,-3.080183652433307151e-04,-2.024496841534342728e+00,2.587561038306998573e-04,-3.267088897760785093e-02,-1.095065541163278561e-01
6.950000000000000622e-01,1.999944492298652454e+00,-3.142094153489883570e-04,-2.024495521811586762e+00,2.691510684984168710e-04,-3.322150786011765500e-02,-1.107427163724316044e-01
7.000000000000000666e-01,1.999942905756981082e+00,-3.204464087444646543e-04,-2.024494149241409247e+00,2.798980457341838511e-04,-3.377833220352540605e-02,-1.119887480953098979e-01
7.049999999999999600e-01,1.999941287908275633e+00,-3.267269764017316047e-04,-2.024492722049837212e+00,2.910069929617721714e-04,-3.434141156714033000e-02,-1.132447248372445009e-01
7.099999999999999645e-01,1.999939638529344199e+00,-3.330486223073872757e-04,-2.024491238415424998e+00,3.024880977435287195e-04,-3.491079589373856373e-02,-1.145107219914706653e-01
7.149999999999999689e-01,1.999937957411336287e+00,-3.394086921562338311e-04,-2.024489696463611654e+00,3.143518036365877634e-04,-3.548653549956377884e-02,-1.157868147513828050e-01
7.199999999999999734e-01,1.999936244405586150e+00,-3.458040644955366898e-04,-2.024488094213714451e+00,3.266090540157067326e-04,-3.606868096707344096e-02,-1.170730777429908470e-01
7.249999999999999778e-01,1.999934499355859874e+00,-3.522316057898413006e-04,-2.024486429656279007e+00,3.392709359819365104e-04,-3.665728330535417828e-02,-1.183695855564748239e-01
7.299999999999999822e-01,1.999932722109384109e+00,-3.586880956786806548e-04,-2.024484700740019516e+00,3.523487403394640993e-04,-3.725239392489327478e-02,-1.196764126540732498e-01
7.349999999999999867e-01,1.999930912529215066e+00,-3.651701432132123414e-04,-2.024482905357217533e+00,3.658540286601080164e-04,-3.785406460918603472e-02,-1.209936332672896103e-01
7.399999999999999911e-01,1.999929070494981920e+00,-3.716741812747619716e-04,-2.024481041342463428e+00,3.797986389537525223e-04,-3.846234751373438926e-02,-1.223213213860576409e-01
7.449999999999999956e-01,1.999927195903655086e+00,-3.781964608199786071e-04,-2.024479106471365863e+00,3.941946914782244521e-04,-3.907729516498145012e-02,-1.236595507476388189e-01
7.500000000000000000e-01,1.999925288670339807e+00,-3.847330449526025712e-04,-2.024477098459227520e+00,4.090545946886135699e-04,-3.969896045918222538e-02,-1.250083948252517230e-01
7.550000000000000044e-01,1.999923348729095052e+00,-3.912798028218446669e-04,-2.024475014959695951e+00,4.243910513260349847e-04,-4.032739666121027550e-02,-1.263679268164333847e-01
7.600000000000000089e-01,1.999921376033776621e+00,-3.978324033473777774e-04,-2.024472853563376695e+00,4.402170646458348179e-04,-4.096265740330048977e-02,-1.277382196311327156e-01
7.650000000000000133e-01,1.999919370558906895e+00,-4.043863087709404706e-04,-2.024470611796422848e+00,4.565459447852382034e-04,-4.160479668372787238e-02,-1.291193458795358573e-01
7.700000000000000178e-01,1.999917332300568340e+00,-4.109367680345521186e-04,-2.024468287119087329e+00,4.733913152704407028e-04,-4.225386886542236570e-02,-1.305113778596234675e-01
7.750000000000000222e-01,1.999915261277322998e+00,-4.174788099853407792e-04,-2.024465876924247620e+00,4.907671196631421600e-04,-4.290992867451975945e-02,-1.319143875444601655e-01
